Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Members
108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:108,Bronchospasm,Bronchospasme,,,Symptom,N/A,
121AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:121,Myalgia,Myalgie,,,Finding,N/A,
512AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:512,Rash,Eruption cutanées,,,Symptom/Finding,Coded,
1067AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:1067,Unknown,Ne sait pas,,,Misc,N/A,
5622AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:5622,Other non-coded,,,,Misc,N/A,
71617AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:71617,Acetylsalicylate sodium,,,,Drug,N/A,
72609AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:72609,Caffeine,Caféine,,,Drug,N/A,
73667AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:73667,Codeine,Codeine,,,Drug,N/A,
80106AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:80106,Morphine,Morphine,,,Drug,N/A,
111061AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:111061,Wheal,,,,Diagnosis,N/A,
117399AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:117399,Hypertension,Hypertension artérielle,HTA,,Diagnosis,N/A,
118773AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:118773,Dystonia,Dystonie,,,Diagnosis,N/A,
120148AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:120148,Cardiac Dysrhythmia,,,,Diagnosis,N/A,
121629AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:121629,Anaemia,Anémie,,,Diagnosis,N/A,
121677AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:121677,Altered Mental Status,,,,Diagnosis,N/A,
136455AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:136455,Itching,Démangeaisons,,,Diagnosis,N/A,
139084AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:139084,Headache,Céphalée,,,Diagnosis,N/A,
