Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:1065,Yes,Oui,,,Misc,N/A
110598AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:110598,Acute pain,,,,Diagnosis,N/A
110834AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:110834,Gastritis,Gastrite,,,Diagnosis,N/A
111633AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:111633,Urinary tract infection,Infection urinaire,,,Diagnosis,N/A
111636AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:111636,Urinary incontinence,,,,Diagnosis,Coded
111AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:111,Dyspepsia,,,,Symptom/Finding,N/A
112198AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:112198,Trichiasis of eyelid,,,,Diagnosis,N/A
112287AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:112287,Trachoma,Trachome,,,Diagnosis,N/A
112493AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:112493,Syphilis,Syphilis,,,Diagnosis,N/A
112561AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:112561,Superficial head injury,,,,Diagnosis,N/A
112989AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:112989,Shock,Choc,,,Diagnosis,N/A
112992AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:112992,Sexually transmitted disease,Maladie sexuellement transmissible,,,Diagnosis,N/A
113087AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:113087,Secondary hypertension,Hypertension secondaire,,,Diagnosis,N/A
113155AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:113155,Schizophrenia,Schizophrénie,,,Diagnosis,N/A
113228AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:113228,Rheumatic fever without heart involvement,,,,Diagnosis,N/A
