Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Members
162394AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162394,Routes of administration,Voies d'administration,Voies admin.,Ensemble des voies d'administration des médicaments,ConvSet,N/A,160240AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|160242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|160243AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|160245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|160241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162392AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
160240AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:160240,Oral administration,Voie orale,PO,,Misc,N/A,
160242AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:160242,Intravenous administration,Voie intraveineuse,IV,,Misc,N/A,
160243AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:160243,Intramuscular administration,Voie intramusculaire,IM,,Misc,N/A,
160245AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:160245,Subcutaneous administration,Voie sous-cutanée,SC,,Misc,N/A,
160241AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:160241,Inhaled administration,Voie inhalée,Inhalé,,Misc,N/A,
162392AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162392,Vaginal administration,Voie vaginale,Vaginal,,Misc,N/A,
dosunit-0000-0000-0000-000000000001,false,,Drug dosing units,Unités de dosage,Unités,Unités de dosage des médicaments,ConvSet,N/A,161553AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|161554AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162263AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162366AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162381AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|162356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|1608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
161553AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:161553,Milligram,Milligramme,mg,,Units of Measure,N/A,
161554AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:161554,Gram,Gramme,g,,Units of Measure,N/A,
162263AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162263,Milliliter,Millilitre,ml,,Units of Measure,N/A,
162366AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162366,Microgram,Microgramme,mcg,,Units of Measure,N/A,
162367AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162367,Million units,Millions d'unités,M UI,,Units of Measure,N/A,
162381AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162381,Unit,Unité,unité,,Units of Measure,N/A,
162356AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162356,Drop,Goutte,gtt,,Units of Measure,N/A,
1732AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:1732,Duration units,Unités de durée,Durée,Ensemble des unités de durée de traitement,ConvSet,N/A,1072AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|1073AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA|1074AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
1072AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:1072,Days,Jours,j,,Misc,N/A,
1073AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:1073,Weeks,Semaines,sem,,Misc,N/A,
1074AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:1074,Months,Mois,mois,,Misc,N/A,
160862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:160862,Once daily,Une fois par jour,1x/j,Fréquence : une fois par jour,Frequency,N/A,
160858AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:160858,Twice daily,Deux fois par jour,2x/j,Fréquence : deux fois par jour,Frequency,N/A,
160866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:160866,Thrice daily,Trois fois par jour,3x/j,Fréquence : trois fois par jour,Frequency,N/A,
160870AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:160870,Four times daily,Quatre fois par jour,4x/j,Fréquence : quatre fois par jour,Frequency,N/A,
162249AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162249,Every six hours,Toutes les 6 heures,/6h,Fréquence : toutes les 6 heures,Frequency,N/A,
162251AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162251,Every twelve hours,Toutes les 12 heures,/12h,Fréquence : toutes les 12 heures,Frequency,N/A,
162135AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,false,CIEL:162135,One time,Dose unique,DU,Fréquence : dose unique,Frequency,N/A,
