Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
drg00001-0000-0000-0000-000000000001,,Paracétamol 500mg,70116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,500mg,
drg00002-0000-0000-0000-000000000002,,Paracétamol 100mg (enfant),70116AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,100mg,
drg00003-0000-0000-0000-000000000003,,Amoxicilline 500mg,71160AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,500mg,
drg00004-0000-0000-0000-000000000004,,Amoxicilline 250mg,71160AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,250mg,
drg00005-0000-0000-0000-000000000005,,Amoxicilline 250mg/5ml sirop,71160AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,94ecbbb3-71b7-407b-bac4-3279abbf1b69,250mg/5ml,
drg00006-0000-0000-0000-000000000006,,Cotrimoxazole 480mg (adulte),becdbefb-d88b-4a21-affa-46a2c5dbdbdb,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,480mg,
drg00007-0000-0000-0000-000000000007,,Cotrimoxazole 240mg/5ml sirop,becdbefb-d88b-4a21-affa-46a2c5dbdbdb,94ecbbb3-71b7-407b-bac4-3279abbf1b69,240mg/5ml,
drg00008-0000-0000-0000-000000000008,,Métronidazole 250mg,79782AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,250mg,
drg00009-0000-0000-0000-000000000009,,Métronidazole 500mg,79782AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,500mg,
drg00010-0000-0000-0000-000000000010,,Artéméther-Luméfantrine 20/120mg,med00005-0000-0000-0000-000000000005,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,20mg+120mg,
drg00011-0000-0000-0000-000000000011,,Artésunate-Amodiaquine 100/270mg,med00006-0000-0000-0000-000000000006,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,100mg+270mg,
drg00012-0000-0000-0000-000000000012,,Quinine 300mg injectable,med00007-0000-0000-0000-000000000007,bd1b2599-84d2-4f33-ba25-4f6d42d147a5,300mg/ml,
drg00013-0000-0000-0000-000000000013,,SRO sachet,med00008-0000-0000-0000-000000000008,form0005-0000-0000-0000-000000000005,20.5g,
drg00014-0000-0000-0000-000000000014,,Sulfate de zinc 20mg,med00009-0000-0000-0000-000000000009,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,20mg,
drg00015-0000-0000-0000-000000000015,,Sulfate ferreux 200mg,med00010-0000-0000-0000-000000000010,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,200mg,
drg00016-0000-0000-0000-000000000016,,Acide folique 5mg,76613AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,5mg,
drg00017-0000-0000-0000-000000000017,,Vitamine A 200000 UI,86339AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,1608AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,200000 UI,
drg00018-0000-0000-0000-000000000018,,Mébendazole 500mg,med00013-0000-0000-0000-000000000013,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,500mg,
drg00019-0000-0000-0000-000000000019,,Gentamicine 80mg/2ml injectable,med00014-0000-0000-0000-000000000014,bd1b2599-84d2-4f33-ba25-4f6d42d147a5,80mg/2ml,
drg00020-0000-0000-0000-000000000020,,Ampicilline 1g injectable,71188AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,bd1b2599-84d2-4f33-ba25-4f6d42d147a5,1g,
drg00021-0000-0000-0000-000000000021,,Pénicilline G 5M UI injectable,med00016-0000-0000-0000-000000000016,bd1b2599-84d2-4f33-ba25-4f6d42d147a5,5M UI,
drg00022-0000-0000-0000-000000000022,,Ocytocine 10 UI/ml injectable,med00017-0000-0000-0000-000000000017,bd1b2599-84d2-4f33-ba25-4f6d42d147a5,10 UI/ml,
drg00023-0000-0000-0000-000000000023,,Misoprostol 200µg,med00018-0000-0000-0000-000000000018,1513AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,200µg,
drg00024-0000-0000-0000-000000000024,,Sulfate de magnésium 500mg/ml injectable,med00019-0000-0000-0000-000000000019,bd1b2599-84d2-4f33-ba25-4f6d42d147a5,500mg/ml,
drg00025-0000-0000-0000-000000000025,,Lidocaïne 2% injectable,med00020-0000-0000-0000-000000000020,bd1b2599-84d2-4f33-ba25-4f6d42d147a5,2%,
